Category,Statement,Level 1,Level 2,Level 3,Level 4,Level 5
Product & Outcomes,The team works from a clear product vision that guides decision-making,No vision exists or it's ignored; work is task-driven.,Vision exists but is vague or rarely referenced.,Vision is referenced during planning and prioritisation.,Vision is refined regularly and used to evaluate options.,Team co-creates and challenges vision based on evidence.
Product & Outcomes,Backlog items have measurable outcomes not just tasks or features,Stories are task lists with no value.,Some stories mention value but not measurable outcomes.,Success criteria are routinely defined.,Items include hypotheses and learning measures.,Team tracks post-release outcomes and adapts backlog.
Product & Outcomes,The team uses real data to guide decisions,Decisions rely on opinion or seniority.,Data occasionally referenced.,Data used for prioritisation and validation.,Team gathers and analyses data proactively.,Experiments and continuous learning embedded in workflow.
Product & Outcomes,Prioritisation is based on value and learning,Priorities shift due to external pressure.,Prioritisation negotiated but value unclear.,"Value, risk, effort used consistently.",Value metrics and discovery insights drive ordering.,Prioritisation optimises learning loops and outcomes.
Product & Outcomes,The team reviews real-world impact of shipped work,Done means deployed; no follow-up.,Impact checks happen irregularly.,Metrics reviewed for most releases.,Post-release learning sessions occur.,Insights directly drive strategy and backlog.
Team Dynamics & Psychological Safety,People speak up about risks and concerns,Issues hidden; fear dominates.,Concerns raised inconsistently.,Most team members speak up.,Team actively invites dissenting views.,Psychological safety intentionally cultivated.
Team Dynamics & Psychological Safety,Mistakes are discussed openly and treated as learning,Blame and secrecy.,Mistakes discussed defensively.,Failures reviewed constructively.,Learning from failure celebrated.,Experiments expected; safe-to-fail culture.
Team Dynamics & Psychological Safety,Collaboration happens naturally and knowledge is shared,Work siloed; bottlenecks common.,Pairing/sharing rare.,Collaboration normal for complex work.,Collaboration patterns optimised.,Team functions with collective intelligence.
Team Dynamics & Psychological Safety,Conflicts are resolved constructively and quickly,Conflicts ignored or explosive.,Some issues addressed.,Conflicts resolved respectfully.,Conflict improves decisions.,Explicit conflict protocols used effectively.
Team Dynamics & Psychological Safety,The team works at a sustainable pace,Frequent overtime and burnout.,Some stability but recurring spikes.,Work mostly balanced.,Team monitors and adjusts pace.,Sustainable pace is cultural bedrock.
Flow & Delivery,Work in progress is visible and actively managed,Hidden work; unlimited WIP.,Board exists but WIP ignored.,WIP limits guide behaviour.,WIP tuned using flow data.,WIP dynamically adjusted for learning and value.
