Statement,Score
The team works from a clear product vision that guides decision-making,3
Backlog items have measurable outcomes not just tasks or features,3
The team uses real data to guide decisions,3
Prioritisation is based on value and learning,3
The team reviews real-world impact of shipped work,3
People speak up about risks and concerns,3
Mistakes are discussed openly and treated as learning,3
Collaboration happens naturally and knowledge is shared,3
Conflicts are resolved constructively and quickly,3
The team works at a sustainable pace,3
Work in progress is visible and actively managed,3
The team uses flow metrics to improve,3
Bottlenecks are identified and addressed,3
Forecasting uses historical data,3
The team delivers small incremental slices of value,3
Automated tests exist at appropriate levels,3
Refactoring and improvement routine,3
Pairing/mobbing used for complex work,3
CI/CD pipelines allow safe frequent deployments,3
Code reviews focus on learning not gatekeeping,3
The team validates assumptions with users,3
Usability and accessibility considered early,3
Discovery activities continuous,3
Hypotheses explicitly tested,3
Design thinking integrated,3
Events achieve clear outcomes,3
The team inspects and adapts regularly,3
Working agreements defined and used,3
Impediments surfaced and tracked,3
Team maintains predictable cadence,3
Leaders remove systemic impediments,3
Leaders shield team from thrash,3
Funding supports long-lived teams,3
Leaders model agile behaviours,3
Org policies support iteration,3
Team understands architecture enough to make safe changes,3
Architecture decisions collaborative,3
Architecture evolves incrementally,3
Technical strategy visible and aligned,3
System risks proactively identified,3
Dependencies visible and managed,3
Team participates in cross-team planning,3
Upstream/downstream collaboration effective,3
Shared components have clear ownership,3
Team understands greater value stream,3
